YEAR,Rk,Team,Conf,W,L,WinLoss,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,ThreeProp,TrueShoot,EffFG,TOP,ORBP,FTvsFGA,eFG%,TOV%,DRBP,FT/FGA,Arena,TotalAttend,AttendperG
2001,29,Chicago Bulls,E,15,67,0.183,-9.1,98.12,108.33,-10.21,-9.09,98.32,108.52,-10.19,23.2,16,66,0.01,-9.09,97.2,107.3,89.3,0.298,0.148,0.495,0.45,15.1,26.6,0.22,0.499,14.3,70.3,0.254,United Center,"888,654","21,674"
2001,21,Los Angeles Clippers,W,31,51,0.378,-2.89,102.25,105.42,-3.17,-2.23,102.41,104.86,-2.45,24.3,32,50,0.66,-2.23,101.3,104.5,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,0.466,12,71.1,0.217,STAPLES Center,"601,587","14,673"
2001,22,Boston Celtics,E,36,46,0.439,-2.13,102.41,104.8,-2.39,-2.4,102.45,105.14,-2.68,25.9,35,47,-0.26,-2.4,101.4,103.7,92.6,0.338,0.252,0.521,0.473,14.7,25.3,0.25,0.493,16,72.7,0.256,FleetCenter,"629,201","15,346"
2001,17,Orlando Magic,E,43,39,0.524,0.99,104.05,102.99,1.06,0.38,103.9,103.51,0.39,26,44,38,-0.6,0.39,103.2,102.1,93.2,0.301,0.196,0.513,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,TD Waterhouse Centre,"605,031","14,757"
2001,26,Atlanta Hawks,E,25,57,0.305,-5.21,99.51,105.17,-5.66,-5.55,99.38,105.43,-6.04,26.1,26,56,-0.34,-5.55,98.7,104.3,91.9,0.272,0.14,0.5,0.456,15.5,28.9,0.206,0.472,13.8,70.8,0.249,Philips Arena,"560,330",
2001,24,Vancouver Grizzlies,W,23,59,0.28,-5.73,100.04,106.39,-6.35,-4.94,100.24,105.72,-5.47,26.2,25,57,0.79,-4.94,99.6,105.8,91.7,0.289,0.145,0.51,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,"563,218","13,737"
2001,28,Golden State Warriors,W,17,65,0.207,-9.05,98.41,108.09,-9.68,-8.11,98.68,107.34,-8.65,26.6,17,65,0.94,-8.11,97.8,107.4,94.1,0.282,0.134,0.47,0.429,13.9,33.3,0.199,0.504,15,69.7,0.227,The Arena in Oakland,"591,981","14,439"
2001,4,Dallas Mavericks,W,53,29,0.646,4.28,108,103.36,4.63,4.6,108.07,103.07,4.99,26.6,53,29,0.32,4.61,107.1,102.6,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,Reunion Arena,"680,238","16,591"
2001,9,Houston Rockets,W,45,37,0.549,2.29,107.6,105.02,2.58,2.71,107.75,104.71,3.04,26.7,48,34,0.42,2.71,106.7,104.2,90.4,0.321,0.217,0.538,0.492,14,27.5,0.244,0.475,12.6,71.9,0.206,Compaq Center,"518,555","12,648"
2001,23,Cleveland Cavaliers,E,30,52,0.366,-4.24,101.1,105.71,-4.6,-4.48,101.16,106.02,-4.87,26.9,28,54,-0.23,-4.48,100.3,104.9,91.2,0.312,0.101,0.509,0.459,15.4,29.7,0.239,0.477,14.1,71.1,0.248,Gund Arena,"650,775","15,873"
2001,27,Washington Wizards,E,19,63,0.232,-6.67,101.43,108.65,-7.21,-6.75,101.62,108.93,-7.31,27,23,59,-0.08,-6.75,100.6,107.8,92.7,0.348,0.131,0.514,0.46,15.7,29.7,0.264,0.503,14.1,71.8,0.236,MCI Center,"638,653","15,577"
2001,20,Detroit Pistons,E,32,50,0.39,-1.7,100.61,102.41,-1.79,-2.08,100.46,102.69,-2.23,27.1,36,46,-0.39,-2.08,100,101.8,94.7,0.325,0.162,0.498,0.453,14.2,29.3,0.234,0.466,14,72.2,0.233,The Palace of Auburn Hills,"607,323","14,813"
2001,2,Sacramento Kings,W,55,27,0.671,5.82,106.32,100.23,6.08,6.07,106.23,99.85,6.38,27.1,57,25,0.25,6.07,105.6,99.6,94.4,0.298,0.194,0.529,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,ARCO Arena (II),"709,997","17,317"
2001,12,Minnesota Timberwolves,W,47,35,0.573,1.35,106,104.4,1.61,1.81,106.12,104.01,2.11,27.4,45,37,0.46,1.81,105.2,103.7,91.8,0.253,0.131,0.523,0.482,13,28.6,0.199,0.478,14.2,71.9,0.238,Target Center,"717,371","17,497"
2001,25,New Jersey Nets,E,26,56,0.317,-5.05,100.78,106.41,-5.63,-5.3,100.86,106.77,-5.91,27.5,26,56,-0.25,-5.3,100,105.5,91.8,0.328,0.165,0.504,0.452,13.9,25.7,0.249,0.488,14.9,70,0.258,Continental Airlines Arena,"556,573","13,575"
2001,18,Indiana Pacers,E,41,41,0.5,-0.2,102.91,103.09,-0.18,-0.77,102.69,103.51,-0.82,27.7,40,42,-0.57,-0.77,102,102.2,89.4,0.312,0.18,0.519,0.471,14.5,27,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,"731,800","17,849"
2001,19,Denver Nuggets,W,40,42,0.488,-2.46,104.26,107.03,-2.77,-1.83,104.5,106.57,-2.07,27.9,34,48,0.64,-1.83,103.7,106.3,92.6,0.286,0.21,0.511,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,"619,300","15,105"
2001,16,Seattle SuperSonics,W,44,38,0.537,0.02,106.53,106.38,0.14,0.55,106.74,106.03,0.71,27.9,41,41,0.52,0.55,105.6,105.6,91.6,0.299,0.176,0.53,0.491,14.3,29.1,0.219,0.488,13.9,69.8,0.199,KeyArena at Seattle Center,"640,847","15,630"
2001,15,Charlotte Hornets,E,46,36,0.561,2.1,102.57,100.34,2.23,1.45,102.26,100.73,1.52,28.2,48,34,-0.65,1.45,101.8,99.5,89.4,0.33,0.151,0.506,0.457,13.7,29.8,0.246,0.456,14.1,74.5,0.222,Charlotte Coliseum,"615,424","15,010"
2001,8,Milwaukee Bucks,E,52,30,0.634,3.88,109.52,105.34,4.18,3.13,109.42,106.06,3.36,28.2,52,30,-0.74,3.14,108.8,104.6,92.1,0.276,0.218,0.542,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,Bradley Center,"683,125","16,662"
2001,7,Philadelphia 76ers,E,56,26,0.683,4.28,104.36,99.73,4.63,3.63,104.09,100.17,3.92,28.2,54,28,-0.65,3.64,103.6,98.9,90.6,0.351,0.124,0.518,0.468,14.7,31.2,0.262,0.46,14.5,72.5,0.186,First Union Center,"805,692","19,651"
2001,10,Phoenix Suns,W,51,31,0.622,2.21,101.12,98.67,2.45,2.63,100.94,98.03,2.91,28.6,48,34,0.42,2.63,100.3,98,93.1,0.292,0.156,0.506,0.46,14.1,27.3,0.221,0.46,16.3,73.7,0.252,America West Arena,"737,586","17,990"
2001,6,Los Angeles Lakers,W,56,26,0.683,3.38,109.15,105.56,3.59,3.74,109.33,105.33,4.01,29.2,51,31,0.37,3.74,108.4,104.8,91.7,0.349,0.191,0.535,0.498,13.3,31.1,0.238,0.468,12.2,72.5,0.234,STAPLES Center,"776,336","18,935"
2001,1,San Antonio Spurs,W,58,24,0.707,7.76,107.36,98.64,8.72,7.92,107.2,98.31,8.89,29.5,63,19,0.16,7.92,106.6,98,89.6,0.374,0.175,0.541,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,"913,176","22,273"
2001,11,New York Knicks,E,48,34,0.585,2.63,102.12,99.01,3.11,1.98,101.82,99.44,2.38,29.8,50,32,-0.65,1.98,101.2,98.2,86.7,0.279,0.18,0.523,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,Madison Square Garden (IV),"810,283","19,763"
2001,14,Toronto Raptors,E,47,35,0.573,2.26,106.64,104.23,2.41,1.69,106.62,104.83,1.79,29.9,48,34,-0.57,1.69,105.9,103.4,90.9,0.285,0.167,0.51,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,"793,256","19,348"
2001,5,Portland Trail Blazers,W,50,32,0.61,4.2,107.08,102.54,4.53,4.52,107.11,102.21,4.9,30.1,53,29,0.33,4.52,106.5,101.8,89.1,0.296,0.165,0.539,0.497,14.8,30,0.225,0.47,14.3,72.4,0.223,Rose Garden Arena,"831,376","20,277"
2001,13,Miami Heat,E,50,32,0.61,2.29,101.88,99.39,2.49,1.72,101.67,99.81,1.87,30.9,48,34,-0.57,1.73,101.1,98.5,87.1,0.299,0.221,0.515,0.469,13.7,24.3,0.227,0.46,15.3,72.7,0.214,AmericanAirlines Arena,"678,186","16,541"
2001,3,Utah Jazz,W,53,29,0.646,4.7,108.36,103.17,5.19,5,108.42,102.89,5.53,32,55,27,0.31,5,107.6,102.4,89.8,0.363,0.135,0.546,0.497,15.1,30.2,0.273,0.473,15.6,73.2,0.301,Delta Center,"792,196","19,322"
2002,16,Los Angeles Clippers,W,39,43,0.476,-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05,24.4,40,42,0.38,-0.09,105.5,106,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,"740,185","18,053"
2002,26,Golden State Warriors,W,21,61,0.256,-5.4,103.56,109.28,-5.71,-4.8,103.7,108.74,-5.04,24.8,26,56,0.61,-4.8,102.8,108.5,94.5,0.335,0.142,0.499,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,"593,182","14,468"
2002,29,Chicago Bulls,E,21,61,0.256,-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.5,25.5,18,64,0.02,-8.52,98.2,107.6,90.5,0.302,0.134,0.499,0.456,14.6,26.6,0.218,0.497,13.7,71.4,0.239,United Center,"776,311","18,934"
2002,28,Memphis Grizzlies,W,23,59,0.28,-7.44,98.9,107.09,-8.19,-6.74,98.92,106.32,-7.4,25.5,20,62,0.7,-6.74,98.2,106.3,91.1,0.288,0.168,0.501,0.462,15.4,27.8,0.204,0.486,13.7,68,0.197,Pyramid Arena,"591,030","14,415"
2002,24,Atlanta Hawks,E,33,49,0.402,-4.23,102.72,107.4,-4.68,-4.41,102.83,107.73,-4.9,25.7,29,53,-0.18,-4.41,101.8,106.4,91.9,0.294,0.181,0.517,0.471,14.6,27.5,0.225,0.495,14.1,70.9,0.218,Philips Arena,"506,110","12,344"
2002,25,Houston Rockets,W,28,54,0.341,-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95,25.9,27,55,0.58,-4.31,103.1,108.6,88.2,0.286,0.223,0.507,0.465,13.4,29,0.211,0.491,11.5,69.8,0.178,Compaq Center,"481,227","11,737"
2002,22,Cleveland Cavaliers,E,29,53,0.354,-3.33,105.41,109.17,-3.76,-3.53,105.63,109.62,-3.99,26,31,51,-0.19,-3.52,104.6,108.2,90.3,0.301,0.156,0.524,0.477,13.8,28.9,0.232,0.493,12.3,72.8,0.226,Gund Arena,"596,115","14,539"
2002,15,Indiana Pacers,E,42,40,0.512,0.27,105.09,104.59,0.5,-0.07,105.08,104.98,0.1,26.1,42,40,-0.34,-0.07,104.1,103.8,91.9,0.328,0.182,0.527,0.477,14.2,27,0.253,0.469,13.2,71,0.227,Conseco Fieldhouse,"686,537","16,745"
2002,6,New Jersey Nets,E,52,30,0.634,4.16,104.78,100.28,4.5,3.67,104.65,100.71,3.94,26.1,53,29,-0.49,3.67,104,99.5,91.8,0.28,0.175,0.515,0.476,13.4,29.2,0.206,0.459,14.9,71.6,0.213,Continental Airlines Arena,"564,194","13,761"
2002,9,Boston Celtics,E,49,33,0.598,2.21,104.1,101.7,2.4,1.74,103.95,102.08,1.87,26.2,48,34,-0.46,1.75,103.4,101,92.5,0.291,0.289,0.52,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,FleetCenter,"659,751","16,091"
2002,17,Phoenix Suns,W,36,46,0.439,-0.68,104.07,104.71,-0.64,-0.3,103.98,104.19,-0.21,26.5,39,43,0.39,-0.3,103.3,104,91.4,0.235,0.158,0.51,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,"668,939","16,316"
2002,5,Minnesota Timberwolves,W,50,32,0.61,3.38,109.79,105.97,3.82,3.58,109.78,105.73,4.05,26.7,51,31,0.2,3.58,109,105.3,90.5,0.255,0.152,0.532,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,Target Center,"731,673","17,846"
2002,7,Seattle SuperSonics,W,45,37,0.549,3.02,109.77,106.3,3.47,3.24,109.78,106.06,3.72,26.9,50,32,0.22,3.24,108.9,105.6,89,0.25,0.193,0.54,0.505,13.2,29.4,0.189,0.485,14.5,68.1,0.206,KeyArena at Seattle Center,"633,516","15,452"
2002,1,Sacramento Kings,W,61,21,0.744,7.61,109.7,101.62,8.08,7.61,109.48,101.37,8.12,27,61,21,0,7.61,109,101.1,95.6,0.308,0.166,0.539,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),"709,997","17,317"
2002,20,Washington Wizards,E,37,45,0.451,-1.4,105.67,107.16,-1.49,-1.58,105.92,107.62,-1.7,27.5,37,45,-0.17,-1.58,104.8,106.4,88.3,0.28,0.118,0.508,0.464,12.5,30.7,0.214,0.484,13,71.4,0.214,MCI Center,"847,634","20,674"
2002,4,Dallas Mavericks,W,57,25,0.695,4.26,112.8,108.22,4.59,4.41,112.91,108.13,4.78,27.6,53,29,0.16,4.41,112.2,107.7,92.8,0.288,0.237,0.553,0.507,11.3,26.1,0.232,0.485,12.9,70.7,0.239,American Airlines Center,"802,783","19,580"
2002,2,Los Angeles Lakers,W,58,24,0.707,7.12,110.29,102.52,7.77,7.15,110.12,102.3,7.82,27.9,60,22,0.03,7.15,109.4,101.7,92.1,0.313,0.21,0.534,0.498,11.8,28.8,0.218,0.453,13,72,0.233,STAPLES Center,"778,777","18,995"
2002,13,Orlando Magic,E,44,38,0.537,1.57,107.71,106.04,1.67,1.25,107.88,106.58,1.3,28,46,36,-0.32,1.25,107,105.3,93.2,0.278,0.241,0.533,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,TD Waterhouse Centre,"621,121","15,149"
2002,27,Denver Nuggets,W,27,55,0.329,-5.82,102.34,108.68,-6.35,-5.19,102.44,108.08,-5.64,28.2,24,58,0.63,-5.19,101.4,107.8,90.4,0.256,0.187,0.495,0.455,13.6,30.6,0.19,0.492,13.6,69.9,0.245,Pepsi Center,"633,846","15,460"
2002,14,Charlotte Hornets,E,44,38,0.537,0.96,105.13,104.06,1.07,0.57,105.02,104.4,0.62,28.3,44,38,-0.4,0.57,104.3,103.3,89.7,0.32,0.151,0.513,0.466,13.3,30.6,0.238,0.465,13.3,72.2,0.226,Charlotte Coliseum,"462,738","11,286"
2002,3,San Antonio Spurs,W,58,24,0.707,6.21,107.35,100.38,6.97,6.27,107.06,100.01,7.05,28.5,59,23,0.07,6.28,106.5,99.7,90,0.353,0.19,0.539,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,"906,390","22,107"
2002,18,Milwaukee Bucks,E,41,41,0.5,-0.22,107.78,108,-0.22,-0.62,107.93,108.6,-0.68,28.9,40,42,-0.4,-0.62,106.9,107.1,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12,70.9,0.217,Bradley Center,"745,305","18,178"
