YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,,,,,,,,,,,,,,,,,,,,,,
2015,29,Philadelphia 76ers,E,18,64,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38,23.2,18,64,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225,Wells Fargo Center,"571,572","13,941"
2015,14,Utah Jazz,W,38,44,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79,23.4,42,40,0.49,0.71,105.1,104.9,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,EnergySolutions Arena,"772,059","18,831"
2015,26,Orlando Magic,E,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23,24.3,25,57,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21,Amway Center,"688,194","16,785"
2015,28,Minnesota Timberwolves,W,16,66,0.195,-8.79,103.63,112.98,-9.36,-8,103.98,112.5,-8.52,24.4,19,63,0.79,-8,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,"595,652","14,416"
2015,17,Milwaukee Bucks,E,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16,24.6,42,40,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,"593,910","14,813"
2015,19,Boston Celtics,E,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,25,41,41,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,TD Garden,"721,350","17,594"
2015,13,New Orleans Pelicans,W,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,25.3,43,39,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,"683,757","16,677"
2015,12,Oklahoma City Thunder,W,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,25.4,47,35,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,"746,323","18,203"
2015,18,Phoenix Suns,W,39,43,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37,25.7,38,44,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,US Airways Center,"693,862","16,923"
2015,20,Detroit Pistons,E,32,50,0.39,-1,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54,25.9,38,44,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192,The Palace of Auburn Hills,"625,917","15,266"
2015,22,Sacramento Kings,W,29,53,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27,26,31,51,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,"680,049","16,587"
2015,25,Charlotte Hornets,E,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79,26,32,50,-0.27,-3.44,100.1,103.5,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188,Time Warner Cable Arena,"704,886","17,192"
2015,11,Toronto Raptors,E,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72,26.1,49,33,-0.62,2.45,111,107.7,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,"809,824","19,752"
2015,21,Denver Nuggets,W,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07,26.4,31,51,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239,Pepsi Center,"602,707","14,700"
2015,1,Golden State Warriors,W,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,26.6,65,17,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,"803,436","19,596"
2015,30,New York Knicks,E,17,65,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3,26.9,17,65,-0.18,-9.5,99.9,110,91.2,0.234,0.24,0.508,0.47,14,24.5,0.18,0.512,13.3,73.1,0.234,Madison Square Garden (IV),"812,292","19,812"
2015,6,Cleveland Cavaliers,E,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,26.9,53,29,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,"843,042","20,562"
2015,27,Los Angeles Lakers,W,21,61,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65,27,23,59,0.67,-6.17,103.4,110.6,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,"768,244","18,738"
2015,5,Portland Trail Blazers,W,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69,27,53,29,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,"798,368","19,472"
2015,7,Houston Rockets,W,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,27.6,50,32,0.38,3.82,107,103.4,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,"747,412","18,230"
2015,4,Atlanta Hawks,E,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,27.8,56,26,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,"713,909","17,412"
2015,16,Indiana Pacers,E,38,44,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14,28.3,42,40,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217,Bankers Life Fieldhouse,"691,434","16,864"
